time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20111005:0600,17.53,69.86,69,139.1,51,327.1,2.91,74,100623
20111005:0700,19.25,61.4,290,537.58,110,330.75,3.15,77,100662
20111005:0800,20.97,52.94,507,746.81,123,334.4,3.39,80,100702
20111005:0900,22.19,47.37,678,831.74,133,340.8,3.93,72,100642
20111005:1000,23.41,41.8,803,909.93,122,347.2,4.47,63,100583
20111005:1100,24.62,36.23,848,911.96,130,353.6,5.01,55,100524
20111005:1200,24.89,35.64,826,904.7,130,354.47,4.88,51,100468
20111005:1300,25.15,35.04,692,708.71,199,355.33,4.75,46,100412
20111005:1400,25.41,34.45,543,628.4,184,356.2,4.62,41,100356
20111005:1500,24.57,38.28,357,526.23,144,350.88,4.1,40,100363
20111005:1600,23.73,42.11,107,86.78,89,345.57,3.58,39,100369
20111005:1700,22.89,45.94,0,0,0,340.25,3.06,38,100376
20111005:1800,21.94,49.23,0,0,0,338.78,3,37,100412
20111005:1900,21,52.51,0,0,0,337.32,2.93,36,100448
20111005:2000,20.05,55.8,0,0,0,335.85,2.87,35,100485
20111005:2100,19.47,58.61,0,0,0,333.92,2.62,34,100462
20111005:2200,18.88,61.41,0,0,0,331.98,2.36,34,100439
20111005:2300,18.3,64.22,0,0,0,330.05,2.11,34,100416
20111006:0000,18,65.4,0,0,0,329.2,1.91,31,100383
20111006:0100,17.7,66.59,0,0,0,328.35,1.71,29,100350
20111006:0200,17.41,67.77,0,0,0,327.5,1.5,26,100317
20111006:0300,16.94,70.18,0,0,0,326.93,1.79,33,100320
20111006:0400,16.48,72.6,0,0,0,326.37,2.08,41,100323
20111006:0500,16.02,75.01,0,0,0,325.8,2.37,48,100327
20111006:0600,18.07,65.74,65,118.4,50,330.5,2.6,51,100360
20111006:0700,20.11,56.46,279,485.09,118,335.2,2.83,54,100392
20111006:0800,22.15,47.19,499,718.21,132,339.9,3.06,57,100425
20111006:0900,23.49,42.51,667,799.37,146,346.82,3.25,49,100369
20111006:1000,24.82,37.84,782,844.73,153,353.73,3.44,42,100314
20111006:1100,26.15,33.16,830,861.82,155,360.65,3.63,34,100258
20111006:1200,26.4,31.97,808,854.95,154,360.47,3.59,30,100179
20111006:1300,26.65,30.79,695,735.09,187,360.28,3.54,27,100100
20111006:1400,26.91,29.6,556,704.22,157,360.1,3.5,23,100021
20111006:1500,25.9,32.3,360,567.52,133,356.6,3.19,20,100018
20111006:1600,24.89,35,103,83.9,86,353.1,2.87,18,100014
20111006:1700,23.88,37.7,0,0,0,349.6,2.55,15,100011
20111006:1800,22.69,40.88,0,0,0,348.12,2.26,11,100054
20111006:1900,21.49,44.07,0,0,0,346.63,1.96,6,100097
20111006:2000,20.3,47.25,0,0,0,345.15,1.67,2,100139
20111006:2100,19.7,49.26,0,0,0,345.03,1.38,354,100103
20111006:2200,19.09,51.27,0,0,0,344.92,1.1,346,100067
20111006:2300,18.48,53.28,0,0,0,344.8,0.81,338,100031
20111007:0000,17.88,53.41,0,0,0,343.08,1.27,329,99972
20111007:0100,17.28,53.53,0,0,0,341.37,1.73,321,99913
20111007:0200,16.67,53.66,0,0,0,339.65,2.19,312,99853
20111007:0300,16.28,54.41,0,0,0,336.27,2.31,306,99850
20111007:0400,15.88,55.17,0,0,0,332.88,2.43,301,99847
20111007:0500,15.48,55.92,0,0,0,329.5,2.55,295,99844
20111007:0600,18.04,48.74,78,250.1,47,333.53,2.67,296,99883
20111007:0700,20.6,41.57,264,410.42,129,337.57,2.79,298,99922
20111007:0800,23.15,34.39,476,628.25,157,341.6,2.91,299,99962
20111007:0900,24.47,32.02,351,61.71,311,348.25,3.02,307,99932
20111007:1000,25.79,29.64,340,21.6,324,354.9,3.12,315,99903
20111007:1100,27.1,27.27,366,24.39,347,361.55,3.23,323,99873
20111007:1200,26.54,32.35,751,677.1,236,362.95,4.07,330,99883
20111007:1300,25.97,37.42,512,244.72,344,364.35,4.92,336,99893
20111007:1400,25.41,42.5,50,0,50,365.75,5.77,343,99903
20111007:1500,24.13,46.68,380,713.53,98,364.17,5.93,351,99975
20111007:1600,22.85,50.87,105,96.02,86,362.58,6.09,358,100047
20111007:1700,21.57,55.05,0,0,0,361,6.25,6,100120
20111007:1800,20.67,56.42,0,0,0,355.83,5.23,10,100202
20111007:1900,19.78,57.79,0,0,0,350.67,4.22,13,100284
20111007:2000,18.88,59.16,0,0,0,345.5,3.2,17,100366
20111007:2100,18.25,59.71,0,0,0,341.23,3.79,14,100389
20111007:2200,17.61,60.27,0,0,0,336.97,4.39,11,100412
20111007:2300,16.98,60.82,0,0,0,332.7,4.98,8,100435
20111008:0000,16.74,61.85,0,0,0,332.72,4.51,8,100409
20111008:0100,16.5,62.87,0,0,0,332.73,4.04,7,100383
20111008:0200,16.26,63.9,0,0,0,332.75,3.57,7,100356
20111008:0300,15.64,64.78,0,0,0,329.48,3.21,5,100406
20111008:0400,15.01,65.66,0,0,0,326.22,2.86,2,100455
20111008:0500,14.38,66.54,0,0,0,322.95,2.5,360,100504
20111008:0600,15.72,59.26,60,107.28,47,324.25,2.75,358,100557
20111008:0700,17.05,51.98,264,426.46,125,325.55,3,357,100609
20111008:0800,18.38,44.7,473,626.38,157,326.85,3.26,356,100662
20111008:0900,19.67,41.29,638,712,179,330.97,4.01,350,100639
20111008:1000,20.95,37.88,748,751.77,194,335.08,4.76,345,100616
20111008:1100,22.23,34.47,777,709.7,227,339.2,5.52,339,100593
20111008:1200,22.88,33.83,756,703.51,224,338.63,5.7,342,100521
20111008:1300,23.52,33.19,650,611.5,233,338.07,5.88,344,100448
20111008:1400,24.16,32.55,522,599.44,188,337.5,6.06,346,100376
20111008:1500,23.48,35.09,334,476.34,148,334.92,5.11,347,100419
20111008:1600,22.79,37.64,95,72.48,81,332.33,4.16,348,100462
20111008:1700,22.1,40.18,0,0,0,329.75,3.21,348,100504
20111008:1800,21.33,43.11,0,0,0,329.03,3.41,350,100580
20111008:1900,20.55,46.05,0,0,0,328.32,3.6,352,100655
20111008:2000,19.78,48.98,0,0,0,327.6,3.79,354,100731
20111008:2100,19.23,52.05,0,0,0,327.38,3.68,355,100748
20111008:2200,18.67,55.11,0,0,0,327.17,3.57,357,100764
20111008:2300,18.12,58.18,0,0,0,326.95,3.46,359,100780
20111009:0000,17.84,60.5,0,0,0,329.07,3.19,358,100761
20111009:0100,17.56,62.82,0,0,0,331.18,2.91,357,100741
20111009:0200,17.28,65.14,0,0,0,333.3,2.63,356,100721
20111009:0300,16.76,67.11,0,0,0,331.97,2.78,352,100748
20111009:0400,16.23,69.09,0,0,0,330.63,2.93,349,100774
20111009:0500,15.7,71.06,0,0,0,329.3,3.08,346,100800
20111009:0600,17.19,63.22,57,101.36,45,331.97,2.88,350,100863
20111009:0700,18.67,55.39,261,424.27,124,334.63,2.69,354,100925
20111009:0800,20.15,47.55,470,624.52,157,337.3,2.5,358,100988
20111009:0900,21.27,43.69,635,711.31,179,342.55,2,359,100955
20111009:1000,22.39,39.82,748,765.31,187,347.8,1.49,0,100922
20111009:1100,23.51,35.96,777,722.62,220,353.05,0.99,1,100889
20111009:1200,24.21,34.31,759,731.56,209,352.02,1.23,5,100823
20111009:1300,24.91,32.67,653,636.3,222,350.98,1.46,9,100757
20111009:1400,25.61,31.02,523,620.81,180,349.95,1.7,12,100692
20111009:1500,24.76,33.57,330,474.39,147,346.2,1.86,14,100708
20111009:1600,23.9,36.12,91,68.97,78,342.45,2.02,16,100725
20111009:1700,23.04,38.67,0,0,0,338.7,2.18,18,100741
20111009:1800,22,41.27,0,0,0,337.43,2.37,24,100784
20111009:1900,20.95,43.87,0,0,0,336.17,2.56,29,100826
20111009:2000,19.91,46.47,0,0,0,334.9,2.74,34,100869
20111009:2100,19.22,48.58,0,0,0,332.4,2.55,40,100856
20111009:2200,18.52,50.7,0,0,0,329.9,2.35,47,100843
20111009:2300,17.83,52.81,0,0,0,327.4,2.15,54,100830
20111010:0000,17.52,54.46,0,0,0,326.05,2.13,110,100813
20111010:0100,17.22,56.11,0,0,0,324.7,2.11,166,100797
20111010:0200,16.92,57.76,0,0,0,323.35,2.08,223,100780
20111010:0300,16.26,59.33,0,0,0,322.27,2.15,238,100790
20111010:0400,15.61,60.9,0,0,0,321.18,2.22,253,100800
20111010:0500,14.96,62.47,0,0,0,320.1,2.29,268,100810
20111010:0600,17.07,55.33,57,112.49,44,325.03,1.69,279,100849
20111010:0700,19.18,48.18,252,387.69,128,329.97,1.09,290,100889
20111010:0800,21.29,41.04,469,636.74,152,334.9,0.5,302,100928
20111010:0900,22.6,38.21,631,709.09,179,341.63,0.62,305,100882
20111010:1000,23.9,35.39,740,750.22,193,348.37,0.74,309,100836
20111010:1100,25.2,32.56,781,751.34,205,355.1,0.86,313,100790
20111010:1200,25.78,31.98,759,743.9,203,355.72,1.3,314,100718
20111010:1300,26.36,31.39,649,634.67,222,356.33,1.74,315,100646
20111010:1400,26.94,30.81,521,631.58,175,356.95,2.18,316,100573
20111010:1500,25.91,33.88,327,482.85,143,354.32,1.67,326,100577
20111010:1600,24.87,36.96,89,70.71,76,351.68,1.17,336,100580
20111010:1700,23.83,40.03,0,0,0,349.05,0.66,346,100583
20111010:1800,22.88,42.02,0,0,0,347.5,1.13,357,100606
20111010:1900,21.92,44.01,0,0,0,345.95,1.59,8,100629
20111010:2000,20.97,46,0,0,0,344.4,2.06,19,100652
20111010:2100,20.56,48.5,0,0,0,342.92,2.23,11,100623
20111010:2200,20.14,51,0,0,0,341.43,2.4,3,100593
20111010:2300,19.72,53.5,0,0,0,339.95,2.58,356,100563
20111011:0000,18.92,55.62,0,0,0,337.53,2.42,327,100547
20111011:0100,18.12,57.75,0,0,0,335.12,2.26,299,100531
20111011:0200,17.32,59.87,0,0,0,332.7,2.1,271,100514
20111011:0300,16.87,61.85,0,0,0,331.87,2.16,274,100534
20111011:0400,16.42,63.83,0,0,0,331.03,2.23,277,100554
20111011:0500,15.97,65.81,0,0,0,330.2,2.29,280,100573
20111011:0600,18.43,58.04,56,106.45,44,335.12,2.29,285,100629
20111011:0700,20.89,50.26,258,438.83,119,340.03,2.29,290,100685
20111011:0800,23.34,42.49,471,659.28,145,344.95,2.29,295,100741
20111011:0900,24.41,38.96,634,736.85,167,351.6,1.94,289,100695
20111011:1000,25.48,35.43,752,808.08,166,358.25,1.6,282,100649
20111011:1100,26.55,31.9,785,779.09,191,364.9,1.26,275,100603
20111011:1200,26.93,30.84,771,802.15,175,366.73,1.09,294,100560
20111011:1300,27.31,29.79,659,685.4,201,368.57,0.93,312,100517
20111011:1400,27.68,28.73,525,668.28,162,370.4,0.77,330,100475
20111011:1500,27.4,29.43,322,478.2,142,364.3,0.62,348,100475
20111011:1600,27.11,30.12,87,72.52,74,358.2,0.47,6,100475
20111011:1700,26.83,30.82,0,0,0,352.1,0.32,24,100475
20111011:1800,25.71,33.76,0,0,0,350.43,0.46,48,100504
20111011:1900,24.6,36.7,0,0,0,348.77,0.6,72,100534
20111011:2000,23.48,39.64,0,0,0,347.1,0.74,95,100563
20111011:2100,22.75,42.81,0,0,0,345.17,1.12,114,100534
20111011:2200,22.01,45.97,0,0,0,343.23,1.49,133,100504
20111011:2300,21.28,49.14,0,0,0,341.3,1.86,152,100475
20111012:0000,20.22,50.42,0,0,0,338.42,1.86,181,100458
20111012:0100,19.17,51.7,0,0,0,335.53,1.85,210,100442
20111012:0200,18.11,52.98,0,0,0,332.65,1.85,240,100425
20111012:0300,17.49,54.12,0,0,0,331.45,2.03,237,100432
20111012:0400,16.87,55.25,0,0,0,330.25,2.22,235,100439
20111012:0500,16.24,56.39,0,0,0,329.05,2.4,232,100445
20111012:0600,18.71,49.43,53,100.13,42,334.15,2.22,234,100488
20111012:0700,21.18,42.47,255,436.82,118,339.25,2.03,235,100531
20111012:0800,23.64,35.51,459,621.09,154,344.35,1.85,237,100573
20111012:0900,24.78,32.85,623,707.84,177,353.83,1.58,264,100517
20111012:1000,25.92,30.2,736,762.61,186,363.32,1.31,291,100462
20111012:1100,27.06,27.54,768,734.62,211,372.8,1.05,318,100406
20111012:1200,27.47,27.16,749,741.96,201,371.5,1.1,340,100360
20111012:1300,27.88,26.79,643,644.91,215,370.2,1.16,3,100314
20111012:1400,28.3,26.41,508,614.61,177,368.9,1.21,25,100268
20111012:1500,27.74,27.9,318,476.08,141,363.5,0.92,36,100251
20111012:1600,27.19,29.39,84,68.68,72,358.1,0.63,47,100235
20111012:1700,26.64,30.88,0,0,0,352.7,0.33,58,100218
20111012:1800,24.93,34.45,0,0,0,349.9,1.05,91,100238
20111012:1900,23.22,38.02,0,0,0,347.1,1.77,123,100258
20111012:2000,21.51,41.59,0,0,0,344.3,2.48,156,100277
20111012:2100,20.8,43.41,0,0,0,341.53,2.55,167,100248
20111012:2200,20.08,45.22,0,0,0,338.77,2.62,178,100218
20111012:2300,19.37,47.04,0,0,0,336,2.69,189,100189
20111013:0000,18.72,47.71,0,0,0,332.6,2.8,198,100176
20111013:0100,18.07,48.38,0,0,0,329.2,2.9,207,100162
20111013:0200,17.42,49.05,0,0,0,325.8,3.01,216,100149
20111013:0300,16.97,50.02,0,0,0,324.45,2.97,221,100139
20111013:0400,16.52,50.99,0,0,0,323.1,2.94,225,100130
20111013:0500,16.07,51.96,0,0,0,321.75,2.91,230,100120
20111013:0600,18.61,45.77,51,102.85,40,326.6,2.97,234,100156
20111013:0700,21.15,39.59,249,415.49,120,331.45,3.03,238,100192
20111013:0800,23.68,33.4,456,619.31,154,336.3,3.09,242,100228
20111013:0900,25.08,30.11,623,720.02,172,345.67,2.6,243,100166
20111013:1000,26.48,26.81,735,775.22,179,355.03,2.11,244,100103
20111013:1100,27.87,23.52,763,733.44,210,364.4,1.63,246,100041
20111013:1200,28.25,23.04,740,726,207,366.52,1.84,245,99985
20111013:1300,28.63,22.56,634,629.63,219,368.63,2.06,244,99929
20111013:1400,29.01,22.08,506,625.53,172,370.75,2.28,244,99873
20111013:1500,27.85,24.67,335,599.14,115,364,2.3,231,99863
20111013:1600,26.68,27.26,66,23.5,62,357.25,2.32,218,99853
20111013:1700,25.52,29.85,0,0,0,350.5,2.34,205,99844
20111013:1800,24.3,31.95,0,0,0,346.88,2.55,203,99870
20111013:1900,23.08,34.06,0,0,0,343.27,2.75,201,99896
20111013:2000,21.86,36.16,0,0,0,339.65,2.95,199,99922
20111013:2100,21.27,37.74,0,0,0,336.5,3.14,203,99929
20111013:2200,20.67,39.31,0,0,0,333.35,3.33,206,99936
20111013:2300,20.08,40.89,0,0,0,330.2,3.52,210,99942
20111014:0000,19.3,40.63,0,0,0,325.35,3.57,213,99932
20111014:0100,18.52,40.38,0,0,0,320.5,3.62,216,99922
20111014:0200,17.74,40.12,0,0,0,315.65,3.67,218,99913
20111014:0300,17.09,41.85,0,0,0,314.27,3.71,224,99926
20111014:0400,16.45,43.57,0,0,0,312.88,3.74,229,99939
20111014:0500,15.8,45.3,0,0,0,311.5,3.78,234,99952
20111014:0600,18,40.98,55,144.18,40,316.12,3.24,247,100005
20111014:0700,20.2,36.65,249,432.81,116,320.73,2.7,260,100057
20111014:0800,22.4,32.33,460,654.72,143,325.35,2.17,273,100110
20111014:0900,23.82,29.73,622,732.39,166,333.45,2.01,273,100070
20111014:1000,25.24,27.14,731,775.38,178,341.55,1.85,272,100031
20111014:1100,26.66,24.54,763,746.93,203,349.65,1.7,271,99991
20111014:1200,27.32,25.61,748,768.77,187,352.25,1.39,284,99949
20111014:1300,27.98,26.67,637,655.39,208,354.85,1.09,296,99906
20111014:1400,28.65,27.74,507,647.95,164,357.45,0.79,308,99863
20111014:1500,27.44,32.71,314,499.12,133,354.42,3.14,330,99916
20111014:1600,26.24,37.69,80,72.39,68,351.38,5.49,352,99968
20111014:1700,25.04,42.66,0,0,0,348.35,7.83,14,100021
20111014:1800,23.76,48.78,0,0,0,346.25,7.37,23,100106
20111014:1900,22.48,54.9,0,0,0,344.15,6.91,33,100192
20111014:2000,21.2,61.02,0,0,0,342.05,6.46,43,100277
20111014:2100,20.23,63.76,0,0,0,340.57,6.26,44,100307
20111014:2200,19.25,66.49,0,0,0,339.08,6.07,46,100337
20111014:2300,18.28,69.23,0,0,0,337.6,5.88,48,100366
20111015:0000,17.68,71.28,0,0,0,335.42,5.79,48,100369
20111015:0100,17.08,73.33,0,0,0,333.23,5.7,48,100373
20111015:0200,16.48,75.38,0,0,0,331.05,5.61,48,100376
20111015:0300,15.92,75.81,0,0,0,328.52,5.37,46,100419
20111015:0400,15.36,76.24,0,0,0,325.98,5.13,45,100462
20111015:0500,14.8,76.67,0,0,0,323.45,4.88,44,100504
20111015:0600,15.85,68.51,46,89.03,37,324.62,4.66,43,100557
20111015:0700,16.9,60.34,243,411.07,118,325.78,4.44,43,100609
20111015:0800,17.95,52.18,451,628.27,149,326.95,4.22,43,100662
20111015:0900,19.19,45.53,608,689.99,181,330.08,3.89,40,100632
20111015:1000,20.42,38.87,714,730.44,196,333.22,3.56,37,100603
20111015:1100,21.65,32.22,758,744.49,203,336.35,3.23,34,100573
20111015:1200,22.09,31.21,731,723.82,206,334.93,3.09,32,100521
20111015:1300,22.53,30.2,625,627.65,217,333.52,2.95,31,100468
20111015:1400,22.98,29.19,451,443.98,218,332.1,2.81,29,100416
20111015:1500,22.08,31.61,273,321.12,158,327.4,2.52,30,100425
20111015:1600,21.18,34.03,35,0,35,322.7,2.23,30,100435
20111015:1700,20.28,36.45,0,0,0,318,1.94,31,100445
20111015:1800,19.52,37.04,0,0,0,315.65,1.94,38,100485
20111015:1900,18.75,37.64,0,0,0,313.3,1.94,46,100524
20111015:2000,17.99,38.23,0,0,0,310.95,1.93,53,100563
20111015:2100,17.64,40.96,0,0,0,308.93,2.11,57,100570
20111015:2200,17.28,43.68,0,0,0,306.92,2.28,61,100577
20111015:2300,16.92,46.41,0,0,0,304.9,2.46,66,100583
20111016:0000,15.97,48.69,0,0,0,304,1.89,39,100593
20111016:0100,15.02,50.96,0,0,0,303.1,1.32,12,100603
20111016:0200,14.06,53.24,0,0,0,302.2,0.76,344,100613
20111016:0300,13.91,54.81,0,0,0,303.55,1.79,9,100646
20111016:0400,13.75,56.38,0,0,0,304.9,2.82,33,100678
20111016:0500,13.59,57.95,0,0,0,306.25,3.85,58,100711
20111016:0600,15.17,53.97,47,112.11,36,309.02,4.39,65,100764
20111016:0700,16.75,49.99,246,445.41,112,311.78,4.93,72,100817
20111016:0800,18.32,46.01,450,637.1,146,314.55,5.48,79,100869
20111016:0900,19.41,41.95,604,689.38,180,318.03,5.18,72,100846
20111016:1000,20.5,37.88,710,728.96,196,321.52,4.89,65,100823
20111016:1100,21.58,33.82,741,701.55,221,325,4.59,59,100800
20111016:1200,21.93,32.13,722,708.84,211,324.82,4.13,53,100744
20111016:1300,22.27,30.45,616,613.45,220,324.63,3.67,47,100688
20111016:1400,22.61,28.76,488,607.37,172,324.45,3.21,41,100632
20111016:1500,21.64,31.06,301,475.05,133,320.13,3.05,45,100642
20111016:1600,20.66,33.35,74,70.06,63,315.82,2.89,49,100652
20111016:1700,19.68,35.65,0,0,0,311.5,2.73,52,100662
20111016:1800,18.68,37.78,0,0,0,309.67,2.76,58,100711
20111016:1900,17.68,39.92,0,0,0,307.83,2.79,64,100761
20111016:2000,16.68,42.05,0,0,0,306,2.81,70,100810
20111016:2100,16.02,44.03,0,0,0,304.25,2.31,78,100817
20111016:2200,15.36,46.02,0,0,0,302.5,1.81,86,100823
20111016:2300,14.7,48,0,0,0,300.75,1.31,93,100830
20111017:0000,14.15,49.79,0,0,0,299.72,1.51,98,100830
20111017:0100,13.61,51.57,0,0,0,298.68,1.71,102,100830
20111017:0200,13.06,53.36,0,0,0,297.65,1.9,107,100830
20111017:0300,12.58,56.34,0,0,0,297.37,2.33,109,100856
20111017:0400,12.1,59.33,0,0,0,297.08,2.76,112,100882
20111017:0500,11.62,62.31,0,0,0,296.8,3.19,114,100909
20111017:0600,13.7,57.9,44,94.61,35,301.08,3.21,114,100951
20111017:0700,15.78,53.5,240,423.42,114,305.37,3.23,114,100994
20111017:0800,17.85,49.09,444,624.98,148,309.65,3.26,114,101037
20111017:0900,19.09,43.97,603,700.23,175,315.87,3.36,109,100997
20111017:1000,20.32,38.85,706,727.49,196,322.08,3.46,105,100958
20111017:1100,21.55,33.73,745,728.69,208,328.3,3.56,101,100918
20111017:1200,21.86,33.58,721,721.59,204,329.28,3.31,97,100872
20111017:1300,22.16,33.42,608,599.03,224,330.27,3.06,93,100826
20111017:1400,22.47,33.27,486,616.55,168,331.25,2.81,89,100780
20111017:1500,21.52,36.06,298,481.08,130,327.88,3.12,85,100794
20111017:1600,20.57,38.85,72,65.48,62,324.52,3.42,81,100807
20111017:1700,19.62,41.64,0,0,0,321.15,3.72,77,100820
20111017:1800,18.73,44.06,0,0,0,319.07,3.82,78,100859
20111017:1900,17.83,46.47,0,0,0,316.98,3.92,78,100899
20111017:2000,16.94,48.89,0,0,0,314.9,4.01,79,100938
20111017:2100,16.4,50.55,0,0,0,312.63,3.92,82,100938
20111017:2200,15.85,52.22,0,0,0,310.37,3.83,85,100938
20111017:2300,15.3,53.88,0,0,0,308.1,3.74,88,100938
20111018:0000,14.69,54.82,0,0,0,306.15,3.64,93,100935
20111018:0100,14.09,55.77,0,0,0,304.2,3.54,97,100932
20111018:0200,13.48,56.71,0,0,0,302.25,3.45,101,100928
20111018:0300,12.92,58.85,0,0,0,300.73,3.31,99,100948
20111018:0400,12.36,60.98,0,0,0,299.22,3.18,97,100968
20111018:0500,11.8,63.12,0,0,0,297.7,3.05,95,100988
20111018:0600,13.88,55.55,41,86.86,33,301.7,3.07,92,101024
20111018:0700,15.95,47.97,237,421.36,113,305.7,3.09,88,101060
20111018:0800,18.02,40.4,437,610.59,150,309.7,3.12,84,101096
20111018:0900,19.51,37.12,619,783.69,143,316.92,3.37,85,101030
20111018:1000,20.99,33.83,697,711.66,201,324.13,3.63,85,100964
20111018:1100,22.47,30.55,774,846.22,154,331.35,3.89,86,100899
20111018:1200,22.96,30.27,771,928.28,110,333.6,3.32,88,100813
20111018:1300,23.45,30,676,889.14,110,335.85,2.75,90,100728
20111018:1400,23.93,29.72,512,756.88,125,338.1,2.18,92,100642
20111018:1500,22.7,32.82,324,666.99,94,335.97,2.48,83,100632
20111018:1600,21.46,35.93,57,26.94,53,333.83,2.79,75,100623
20111018:1700,20.22,39.03,0,0,0,331.7,3.09,67,100613
20111018:1800,19.35,41.25,0,0,0,332.68,3.24,64,100639
20111018:1900,18.47,43.48,0,0,0,333.67,3.38,60,100665
20111018:2000,17.6,45.7,0,0,0,334.65,3.53,56,100692
20111018:2100,17.15,47.07,0,0,0,332.73,3.42,55,100662
20111018:2200,16.69,48.43,0,0,0,330.82,3.3,54,100632
20111018:2300,16.23,49.8,0,0,0,328.9,3.19,53,100603
20111019:0000,15.57,51.47,0,0,0,323.4,3.14,55,100563
20111019:0100,14.92,53.13,0,0,0,317.9,3.09,57,100524
20111019:0200,14.27,54.8,0,0,0,312.4,3.05,59,100485
20111019:0300,13.71,55.68,0,0,0,311.38,2.89,60,100501
20111019:0400,13.15,56.55,0,0,0,310.37,2.73,60,100517
20111019:0500,12.59,57.43,0,0,0,309.35,2.57,60,100534
20111019:0600,14.79,50.23,44,112.28,34,314.28,2.5,56,100563
20111019:0700,16.98,43.04,259,598,85,319.22,2.43,52,100593
20111019:0800,19.17,35.84,248,64.32,218,324.15,2.36,48,100623
20111019:0900,20.69,32.24,514,417.55,262,332.05,2.72,45,100567
20111019:1000,22.2,28.65,524,254.02,348,339.95,3.09,43,100511
20111019:1100,23.71,25.05,792,936.31,110,347.85,3.45,40,100455
20111019:1200,24.01,24.95,695,662.74,226,346.77,3.25,41,100373
20111019:1300,24.3,24.84,655,814.72,140,345.68,3.05,41,100291
20111019:1400,24.59,24.74,474,601.72,169,344.6,2.86,42,100208
20111019:1500,23.19,27.11,289,475.77,127,343.52,2.99,39,100212
20111019:1600,21.79,29.47,68,69.3,58,342.43,3.13,37,100215
20111019:1700,20.39,31.84,0,0,0,341.35,3.27,34,100218
20111019:1800,19.41,33.46,0,0,0,342.1,3.21,34,100241
20111019:1900,18.42,35.08,0,0,0,342.85,3.16,33,100264
20111019:2000,17.44,36.7,0,0,0,343.6,3.1,33,100287
20111019:2100,16.9,40.33,0,0,0,340.55,3.2,32,100264
20111019:2200,16.35,43.96,0,0,0,337.5,3.3,32,100241
20111019:2300,15.81,47.59,0,0,0,334.45,3.39,31,100218
20111020:0000,15.25,48.75,0,0,0,333.4,3.5,27,100205
20111020:0100,14.7,49.92,0,0,0,332.35,3.6,23,100192
20111020:0200,14.15,51.08,0,0,0,331.3,3.71,18,100179
20111020:0300,13.86,51.78,0,0,0,329.75,3.83,23,100182
20111020:0400,13.58,52.48,0,0,0,328.2,3.96,27,100185
20111020:0500,13.3,53.18,0,0,0,326.65,4.08,31,100189
20111020:0600,15.55,48.46,42,116.28,32,331.55,4.85,38,100222
20111020:0700,17.79,43.75,255,594.52,84,336.45,5.61,45,100254
20111020:0800,20.03,39.03,437,643.88,139,341.35,6.37,51,100287
20111020:0900,21.74,36.42,554,557,220,350.82,6.36,56,100235
20111020:1000,23.45,33.8,704,766.6,176,360.28,6.34,61,100182
20111020:1100,25.15,31.19,748,783.03,181,369.75,6.33,66,100130
20111020:1200,25.55,32.61,750,881.58,130,375.95,5.93,72,100067
20111020:1300,25.94,34.04,666,884.19,111,382.15,5.52,77,100005
20111020:1400,26.33,35.46,337,173.14,250,388.35,5.12,83,99942
20111020:1500,25.37,38.5,293,520.49,118,387.2,4.36,77,99959
20111020:1600,24.41,41.55,69,85.59,57,386.05,3.61,72,99975
20111020:1700,23.45,44.59,0,0,0,384.9,2.86,67,99991
20111020:1800,22.81,47.39,0,0,0,383.47,3.28,66,100047
20111020:1900,22.17,50.19,0,0,0,382.03,3.7,66,100103
20111020:2000,21.53,52.99,0,0,0,380.6,4.12,65,100159
20111020:2100,21.06,56.38,0,0,0,378.22,4.1,62,100133
20111020:2200,20.59,59.77,0,0,0,375.83,4.08,60,100106
20111020:2300,20.12,63.16,0,0,0,373.45,4.06,58,100080
20111021:0000,19.08,68.61,0,0,0,364.22,3.69,53,100080
20111021:0100,18.04,74.05,0,0,0,354.98,3.32,47,100080
20111021:0200,17,79.5,0,0,0,345.75,2.95,42,100080
20111021:0300,16.58,81.21,0,0,0,344.47,3.47,43,100097
20111021:0400,16.16,82.93,0,0,0,343.18,3.99,43,100113
20111021:0500,15.74,84.64,0,0,0,341.9,4.51,43,100130
20111021:0600,17.17,76.77,33,48.24,29,345.28,4.83,45,100166
20111021:0700,18.59,68.89,252,591.01,84,348.67,5.15,46,100202
20111021:0800,20.01,61.02,456,764.42,105,352.05,5.48,48,100238
20111021:0900,21.43,55.3,524,466.65,246,359.93,5.31,48,100199
20111021:1000,22.85,49.57,571,371,317,367.82,5.14,48,100159
20111021:1100,24.26,43.85,492,163.93,374,375.7,4.97,48,100120
20111021:1200,23.81,47.47,463,145.94,361,380.23,4.45,53,100080
20111021:1300,23.36,51.1,291,25.67,275,384.77,3.94,59,100041
20111021:1400,22.91,54.72,241,38.14,222,389.3,3.42,65,100001
20111021:1500,22.17,59.34,281,469.89,125,385.08,3.23,58,100024
20111021:1600,21.42,63.95,41,7.34,40,380.87,3.03,51,100047
20111021:1700,20.68,68.57,0,0,0,376.65,2.84,45,100070
20111021:1800,20.02,71.3,0,0,0,371.87,2.78,46,100116
20111021:1900,19.36,74.03,0,0,0,367.08,2.72,46,100162
20111021:2000,18.7,76.76,0,0,0,362.3,2.66,47,100208
20111021:2100,18.26,79.06,0,0,0,359.1,2.98,45,100195
