time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130404:2300,19.14,24.76,0,0,0,308.95,5.77,291,98926
20130405:0000,17.95,29.11,0,0,0,303.67,5.07,310,99015
20130405:0100,16.76,33.45,0,0,0,298.38,4.38,330,99104
20130405:0200,15.57,37.8,0,0,0,293.1,3.68,349,99193
20130405:0300,14.9,40.38,0,0,0,291.7,3.43,359,99229
20130405:0400,14.23,42.95,0,0,0,290.3,3.18,8,99265
20130405:0500,13.56,45.53,0,0,0,288.9,2.92,18,99301
20130405:0600,15.52,40.16,124,320.29,67,293.38,2.94,35,99321
20130405:0700,17.48,34.8,341,539.22,132,297.87,2.95,53,99341
20130405:0800,19.44,29.43,542,615.93,188,302.35,2.97,71,99360
20130405:0900,21.15,25.6,729,719.75,206,306.57,2.29,98,99308
20130405:1000,22.87,21.77,861,774.35,216,310.78,1.62,125,99255
20130405:1100,24.58,17.94,926,791.94,224,315,0.95,153,99202
20130405:1200,25.18,17.32,886,687.09,279,317.38,1.88,167,99147
20130405:1300,25.78,16.7,911,975.55,107,319.77,2.8,181,99091
20130405:1400,26.38,16.08,768,923.34,110,322.15,3.72,195,99035
20130405:1500,25.76,16.56,413,258.77,269,320.35,3.22,198,98972
20130405:1600,25.13,17.04,343,679.71,94,318.55,2.71,201,98910
20130405:1700,24.51,17.52,79,103.13,63,316.75,2.21,204,98847
20130405:1800,23.5,18.94,0,0,0,314,2.41,210,98854
20130405:1900,22.49,20.36,0,0,0,311.25,2.62,216,98861
20130405:2000,21.48,21.78,0,0,0,308.5,2.83,223,98867
20130405:2100,20.92,21.72,0,0,0,306.85,2.62,228,98811
20130405:2200,20.35,21.66,0,0,0,305.2,2.4,232,98755
20130405:2300,19.78,21.6,0,0,0,303.55,2.19,237,98700
20130406:0000,18.64,24.41,0,0,0,301.18,2.69,243,98729
20130406:0100,17.5,27.22,0,0,0,298.82,3.18,250,98759
20130406:0200,16.36,30.03,0,0,0,296.45,3.67,256,98788
20130406:0300,15.69,34.63,0,0,0,295.43,4.71,263,98838
20130406:0400,15.02,39.22,0,0,0,294.42,5.75,270,98887
20130406:0500,14.35,43.82,0,0,0,293.4,6.79,278,98936
20130406:0600,15.55,41.53,130,345.12,67,298.52,7.65,287,99002
20130406:0700,16.74,39.25,372,701.63,97,303.63,8.51,297,99068
